antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'High_Humidity', 'High_Temp'})",frozenset({'Temp_Category_Warm'}),0.22981586402266288,0.21458923512747877,0.12086874409820586,0.5259373394966615,2.4509027173903832,1.0,0.07155273361742197,1.6567657196173335,0.7686305675287357,0.3735862823786939,0.39641435831315247,0.5445968325646124
frozenset({'Temp_Category_Warm'}),"frozenset({'High_Humidity', 'High_Temp'})",0.21458923512747877,0.22981586402266288,0.12086874409820586,0.5632563256325632,2.4509027173903832,1.0,0.07155273361742197,1.7634694700337517,0.7537292535504959,0.3735862823786939,0.43293602923510743,0.5445968325646124
frozenset({'High_Temp'}),"frozenset({'Temp_Category_Warm', 'High_Humidity'})",0.5504013220018886,0.12452785646836638,0.12086874409820586,0.2196011151619129,1.7634698082006883,1.0,0.05232844727195557,1.1218264922473227,0.9629390813697822,0.2181508308478909,0.1085965548943948,0.5951086144529943
"frozenset({'Temp_Category_Hot', 'High_Humidity'})",frozenset({'High_Temp'}),0.10753068932955619,0.5504013220018886,0.10753068932955619,1.0,1.816856101222389,1.0,0.04834565576679408,inf,0.5037693426795397,0.1953677889770534,1.0,0.5976838944885267
"frozenset({'High_Humidity', 'High_Temp'})",frozenset({'Temp_Category_Hot'}),0.22981586402266288,0.23961284230406044,0.10753068932955619,0.46789933230611197,1.9527306124617638,1.0,0.05246385694452247,1.4290287606505738,0.6334804496763693,0.297129810828441,0.30022402100238754,0.45833390260625795
frozenset({'Temp_Category_Hot'}),"frozenset({'High_Humidity', 'High_Temp'})",0.23961284230406044,0.22981586402266288,0.10753068932955619,0.4487684729064039,1.9527306124617638,1.0,0.05246385694452247,1.397206252041103,0.6416423368733793,0.297129810828441,0.2842860540173263,0.45833390260625795
frozenset({'High_Temp'}),"frozenset({'Temp_Category_Hot', 'High_Humidity'})",0.5504013220018886,0.10753068932955619,0.10753068932955619,0.1953677889770534,1.816856101222389,1.0,0.04834565576679408,1.1091642845565777,1.0,0.1953677889770534,0.09842030263372523,0.5976838944885267
"frozenset({'Humidity_Category_Humid', 'High_Temp'})",frozenset({'High_Humidity'}),0.14660056657223797,0.5347025495750708,0.14660056657223797,1.0,1.8701986754966888,1.0,0.06821286985691243,inf,0.5452282157676348,0.2741721854304636,1.0,0.6370860927152318
"frozenset({'High_Humidity', 'High_Temp'})",frozenset({'Humidity_Category_Humid'}),0.22981586402266288,0.34006137865911235,0.14660056657223797,0.637904468412943,1.875850974104288,1.0,0.06844906701495614,1.8225538946818558,0.6062298480389436,0.3463469046291133,0.45131938050339,0.5345023904022369
frozenset({'Humidity_Category_Humid'}),"frozenset({'High_Humidity', 'High_Temp'})",0.34006137865911235,0.22981586402266288,0.14660056657223797,0.4311003123915308,1.8758509741042881,1.0,0.06844906701495614,1.3538136032646177,0.7075030868277781,0.3463469046291133,0.26134587687065886,0.5345023904022369
frozenset({'High_Humidity'}),"frozenset({'Humidity_Category_Humid', 'High_Temp'})",0.5347025495750708,0.14660056657223797,0.14660056657223797,0.2741721854304636,1.870198675496689,1.0,0.06821286985691243,1.175760168317446,1.0,0.2741721854304636,0.14948641147536484,0.6370860927152318
"frozenset({'High_Wind', 'Temp_Category_Warm'})",frozenset({'High_Temp'}),0.07743153918791312,0.5504013220018886,0.07400849858356941,0.9557926829268293,1.7365377674793259,1.0,0.03139007704990098,10.170232164371075,0.4597398866105433,0.1336317135549872,0.9016738277122861,0.5451277375603479
"frozenset({'High_Wind', 'High_Temp'})",frozenset({'Temp_Category_Warm'}),0.267823418319169,0.21458923512747877,0.07400849858356941,0.27633318642573823,1.2877308885582257,1.0,0.016536476097232147,1.0853209655881553,0.30517260131114216,0.18121387283236995,0.07861357911013739,0.31060883743729156
frozenset({'Temp_Category_Warm'}),"frozenset({'High_Wind', 'High_Temp'})",0.21458923512747877,0.267823418319169,0.07400849858356941,0.3448844884488449,1.2877308885582257,1.0,0.016536476097232147,1.1176297443289258,0.28448837480207617,0.18121387283236995,0.10524929649179657,0.31060883743729156
frozenset({'High_Temp'}),"frozenset({'High_Wind', 'Temp_Category_Warm'})",0.5504013220018886,0.07743153918791312,0.07400849858356941,0.1344627921938666,1.7365377674793259,1.0,0.03139007704990098,1.065891162727146,0.9433780398393297,0.1336317135549872,0.06181790883654526,0.5451277375603479
"frozenset({'High_Wind', 'Temp_Category_Hot'})",frozenset({'High_Temp'}),0.11980642115203022,0.5504013220018886,0.11980642115203022,1.0,1.816856101222389,1.0,0.05386480856563776,inf,0.5107952259621832,0.21767102723568515,1.0,0.6088355136178426
"frozenset({'High_Wind', 'High_Temp'})",frozenset({'Temp_Category_Hot'}),0.267823418319169,0.23961284230406044,0.11980642115203022,0.4473336271485236,1.866901718818863,1.0,0.05563249065298477,1.3758520421149016,0.6342092535869742,0.309074299634592,0.2731776605405607,0.47366681357426177
"frozenset({'Temp_Category_Hot', 'High_Temp'})",frozenset({'High_Wind'}),0.23961284230406044,0.37440982058545796,0.11980642115203022,0.5,1.3354350567465323,1.0,0.030093019854995323,1.251180358829084,0.33033219497050614,0.2424170050155242,0.20075471698113212,0.40999369482976045
frozenset({'High_Wind'}),"frozenset({'Temp_Category_Hot', 'High_Temp'})",0.37440982058545796,0.23961284230406044,0.11980642115203022,0.31998738965952084,1.3354350567465323,1.0,0.030093019854995323,1.1181956718644046,0.4015094339622643,0.2424170050155242,0.10570213678911215,0.40999369482976045
frozenset({'Temp_Category_Hot'}),"frozenset({'High_Wind', 'High_Temp'})",0.23961284230406044,0.267823418319169,0.11980642115203022,0.5,1.866901718818863,1.0,0.05563249065298477,1.464353163361662,0.6106799130704751,0.309074299634592,0.31710462679348705,0.47366681357426177
frozenset({'High_Temp'}),"frozenset({'High_Wind', 'Temp_Category_Hot'})",0.5504013220018886,0.11980642115203022,0.11980642115203022,0.21767102723568515,1.8168561012223887,1.0,0.05386480856563776,1.1250939304188825,1.0000000000000002,0.21767102723568515,0.11118532154227231,0.6088355136178426
"frozenset({'High_Wind', 'Temp_Category_Very Hot'})",frozenset({'High_Temp'}),0.07400849858356941,0.5504013220018886,0.07400849858356941,1.0,1.816856101222389,1.0,0.033274123123797905,inf,0.4855321861057998,0.1344627921938666,1.0,0.5672313960969333
"frozenset({'High_Wind', 'High_Temp'})",frozenset({'Temp_Category_Very Hot'}),0.267823418319169,0.10422568460812087,0.07400849858356941,0.27633318642573823,2.651296438730299,1.0,0.046094419455166874,1.2378269924629561,0.850650030172672,0.24831683168316834,0.19213265982327768,0.49320623081196313
"frozenset({'Temp_Category_Very Hot', 'High_Temp'})",frozenset({'High_Wind'}),0.10422568460812087,0.37440982058545796,0.07400849858356941,0.710079275198188,1.8965295143376575,1.0,0.03498537870904635,2.1577973766525025,0.5277234341739062,0.18290548424737457,0.536564456505481,0.4538731811047687
frozenset({'High_Wind'}),"frozenset({'Temp_Category_Very Hot', 'High_Temp'})",0.37440982058545796,0.10422568460812087,0.07400849858356941,0.19766708701134933,1.8965295143376575,1.0,0.03498537870904635,1.1164621329756543,0.7556402154614669,0.18290548424737457,0.10431355398078158,0.4538731811047687
frozenset({'Temp_Category_Very Hot'}),"frozenset({'High_Wind', 'High_Temp'})",0.10422568460812087,0.267823418319169,0.07400849858356941,0.710079275198188,2.6512964387302995,1.0,0.046094419455166874,2.525437193844429,0.6952934691212392,0.24831683168316834,0.6040289568723277,0.49320623081196313
frozenset({'High_Temp'}),"frozenset({'High_Wind', 'Temp_Category_Very Hot'})",0.5504013220018886,0.07400849858356941,0.07400849858356941,0.1344627921938666,1.8168561012223887,1.0,0.033274123123797905,1.0698459789655144,1.0,0.1344627921938666,0.06528601344377791,0.5672313960969333
"frozenset({'High_Wind', 'Humidity_Category_Very Dry'})",frozenset({'High_Temp'}),0.06610009442870633,0.5504013220018886,0.0567752596789424,0.8589285714285714,1.5605496155142302,1.0,0.020393680320932757,3.1870286035309148,0.38462379311722067,0.1014339940953184,0.686228106364625,0.4810405241873717
"frozenset({'High_Wind', 'High_Temp'})",frozenset({'Humidity_Category_Very Dry'}),0.267823418319169,0.08675637393767706,0.0567752596789424,0.2119876597620097,2.4434822496649606,1.0,0.03353987104997766,1.158920462827411,0.8068381505428095,0.19064605628220377,0.13712801518724907,0.4332047142347463
"frozenset({'Humidity_Category_Very Dry', 'High_Temp'})",frozenset({'High_Wind'}),0.07542492917847025,0.37440982058545796,0.0567752596789424,0.7527386541471048,2.0104671746324945,1.0,0.028535425477560477,2.5300767382651412,0.5436045007090584,0.14444444444444443,0.6047550713083533,0.45218899920469996
frozenset({'High_Wind'}),"frozenset({'Humidity_Category_Very Dry', 'High_Temp'})",0.37440982058545796,0.07542492917847025,0.0567752596789424,0.15163934426229508,2.0104671746324945,1.0,0.028535425477560477,1.0898372815480835,0.8034064252932178,0.14444444444444443,0.08243183002555393,0.45218899920469996
frozenset({'Humidity_Category_Very Dry'}),"frozenset({'High_Wind', 'High_Temp'})",0.08675637393767706,0.267823418319169,0.0567752596789424,0.6544217687074829,2.4434822496649606,1.0,0.03353987104997766,2.1186999509268136,0.6468679136379796,0.19064605628220377,0.5280124495388998,0.4332047142347463
frozenset({'High_Temp'}),"frozenset({'High_Wind', 'Humidity_Category_Very Dry'})",0.5504013220018886,0.06610009442870633,0.0567752596789424,0.10315247694617198,1.5605496155142302,1.0,0.020393680320932757,1.041314026704673,0.7989350094889605,0.1014339940953184,0.03967489695247333,0.4810405241873717
